"Data","Lançamento","Categoria","Tipo","Valor"
"21/10/2024","Hirota Grand Club Tatu Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 13,35"
"20/10/2024","Uber   *uber   *trip   Sao Paulo     Bra","TRANSPORTE","Compra à vista","R$ 40,90"
"20/10/2024","Morango E Acai         Sao Paulo     Bra","RESTAURANTES","Compra à vista","R$ 37,00"
"20/10/2024","Hirota Grand Club Tatu Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 17,80"
"19/10/2024","Hirota Grand Club Tatu Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 10,45"
"17/10/2024","Rhn                    Sao Paulo     Bra","CULTURA","Compra à vista","R$ 14,00"
"17/10/2024","Hirota Grand Club Tatu Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 9,45"
"16/10/2024","Ricardo Gomes De Mace  Sao Paulo     Bra","RESTAURANTES","Compra à vista","R$ 28,00"
"15/10/2024","Mp *bancadomontanha    Osasco        Bra","SUPERMERCADO","Compra à vista","R$ 10,00"
"15/10/2024","17.340.397 Roberio Cl  Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 10,00"
"15/10/2024","Thainaradefreitas      Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 5,00"
"15/10/2024","Mvcomerciodeovos       Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 20,00"
"15/10/2024","Lmmfrutas              So Paulo      Bra","COMPRAS","Compra à vista","R$ 10,00"
"15/10/2024","Luciervas              Sao Paulo     Bra","VESTUARIO","Compra à vista","R$ 23,00"
"15/10/2024","Hirota Grand Club Tatu Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 5,55"
"15/10/2024","Mercado Sempre Mais Lt Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 16,98"
"14/10/2024","Hirota Grand Club Tatu Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 19,44"
"14/10/2024","Amazon Br              Sao Paulo     Bra","VESTUARIO","Compra à vista","R$ 97,30"
"14/10/2024","Mercado Sempre Mais Lt Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 23,94"
"13/10/2024","Amazon Marketplace","VESTUARIO","Compra à vista","R$ 238,00"
"12/10/2024","Hirota Grand Club Tatu Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 13,35"
"12/10/2024","Workmeatacougue        Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 151,72"
"12/10/2024","Ifd*restaurante Arequi Sao Paulo     Bra","RESTAURANTES","Compra à vista","R$ 28,90"
"12/10/2024","Hirota Grand Club Tatu Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 9,45"
"10/10/2024","Ifd*gomes Sanchez Hamb Sao Paulo     Bra","RESTAURANTES","Compra à vista","R$ 57,90"
"10/10/2024","Hirota Grand Club Tatu Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 4,45"
"09/10/2024","Ricardo Gomes De Mace  Sao Paulo     Bra","RESTAURANTES","Compra à vista","R$ 16,00"
"08/10/2024","Mercado Sempre Mais Lt Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 18,32"
"07/10/2024","Pagamento De Fatura","OUTROS","Compra à vista","-R$ 2.000,00"
"07/10/2024","Antoniocarlosjose      Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 19,00"
"07/10/2024","Hirota Grand Club Tatu Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 31,63"
"07/10/2024","Reino Do Artesanato    Sao Paulo     Bra","CONSTRUCAO","Compra à vista","R$ 58,00"
"06/10/2024","Uber   *uber   *trip   Sao Paulo     Bra","TRANSPORTE","Compra à vista","R$ 14,35"
"06/10/2024","Pague Menos            Sao Paulo     Bra","DROGARIA","Compra à vista","R$ 160,44"
"06/10/2024","Uber   *uber   *trip   Sao Paulo     Bra","TRANSPORTE","Compra à vista","R$ 15,50"
"06/10/2024","Dona Deola             Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 9,50"
"05/10/2024","Ifd*rdp Restaurantes L Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 59,90"
"05/10/2024","Workmeatacougue        Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 59,58"
"04/10/2024","Rhn                    Sao Paulo     Bra","CULTURA","Compra à vista","R$ 14,00"
"04/10/2024","Rhn                    Sao Paulo     Bra","CULTURA","Compra à vista","R$ 24,00"
"04/10/2024","Pagamento On Line","OUTROS","Compra à vista","-R$ 784,51"
"03/10/2024","Rocha Servicos De Barb Sao Paulo     Bra","OUTROS","Compra à vista","R$ 40,00"
